city,year,weekofyear,total_cases
iq,2010,42,8
iq,2010,43,11
iq,2010,44,22
iq,2010,45,5
iq,2010,46,9
iq,2010,47,13
iq,2010,48,17
iq,2010,49,20
iq,2010,50,16
iq,2010,51,12
iq,2011,52,12
iq,2011,1,10
iq,2011,2,15
iq,2011,3,6
iq,2011,4,9
iq,2011,5,4
iq,2011,6,6
iq,2011,7,11
iq,2011,8,6
iq,2011,9,12
iq,2011,10,10
iq,2011,11,10
iq,2011,12,12
iq,2011,13,9
iq,2011,14,8
iq,2011,15,10
iq,2011,16,10
iq,2011,17,6
iq,2011,18,9
iq,2011,19,5
iq,2011,20,5
iq,2011,21,7
iq,2011,22,8
iq,2011,23,4
iq,2011,24,5
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,2
iq,2011,29,4
iq,2011,30,4
iq,2011,31,3
iq,2011,32,3
iq,2011,33,5
iq,2011,34,3
iq,2011,35,2
iq,2011,36,5
iq,2011,37,6
iq,2011,38,4
iq,2011,39,6
iq,2011,40,5
iq,2011,41,7
iq,2011,42,17
iq,2011,43,6
iq,2011,44,4
iq,2011,45,6
iq,2011,46,10
iq,2011,47,12
iq,2011,48,11
iq,2011,49,11
iq,2011,50,7
iq,2011,51,8
iq,2012,52,10
iq,2012,1,8
iq,2012,2,7
iq,2012,3,7
iq,2012,4,5
iq,2012,5,6
iq,2012,6,15
iq,2012,7,8
iq,2012,8,8
iq,2012,9,4
iq,2012,10,10
iq,2012,11,5
iq,2012,12,4
iq,2012,13,8
iq,2012,14,4
iq,2012,15,8
iq,2012,16,10
iq,2012,17,5
iq,2012,18,8
iq,2012,19,2
iq,2012,20,4
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,1
iq,2012,25,3
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,0
iq,2012,31,4
iq,2012,32,2
iq,2012,33,1
iq,2012,34,4
iq,2012,35,6
iq,2012,36,5
iq,2012,37,5
iq,2012,38,8
iq,2012,39,9
iq,2012,40,3
iq,2012,41,14
iq,2012,42,9
iq,2012,43,12
iq,2012,44,9
iq,2012,45,9
iq,2012,46,19
iq,2012,47,13
iq,2012,48,15
iq,2012,49,14
iq,2012,50,12
iq,2012,51,11
iq,2013,1,12
iq,2013,2,6
iq,2013,3,7
iq,2013,4,9
iq,2013,5,9
iq,2013,6,9
iq,2013,7,9
iq,2013,8,11
iq,2013,9,7
iq,2013,10,13
iq,2013,11,12
iq,2013,12,16
iq,2013,13,11
iq,2013,14,10
iq,2013,15,9
iq,2013,16,11
iq,2013,17,8
iq,2013,18,2
iq,2013,19,8
iq,2013,20,7
iq,2013,21,7
iq,2013,22,6
iq,2013,23,4
iq,2013,24,3
iq,2013,25,6
iq,2013,26,2
